DBN,MS,Borough,CSD,total_students,testers_count,perc_tested,total_offers,perc_tested_offered,fof_testers,fof_offers,G_T,HS_Program,Citywide
75Q256,P.S. Q256 (75Q256),Queens,D75,6,3,,3,,1,1,No,No,No
75Q277,THE RIVERVIEW SCHOOL (75Q277),Queens,D75,6,3,,3,,1,1,No,No,No
75Q504,HOME INSTRUCTION - QUEEN (75Q504),Queens,D75,3,3,,3,,1,1,No,No,No
75Q811,P.S. Q811 (75Q811),Queens,D75,3,3,,3,,1,1,No,No,No
75Q993,P.S. Q993 (75Q993),Queens,D75,3,3,,3,,1,1,No,No,No
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25 (75R025),Staten Island,D75,11,3,,3,,1,1,No,No,No
75R037,THE DAVID MARQUIS SCHOOL OF THE ARTS (75R037),Staten Island,D75,3,3,,3,,1,1,No,No,No
75R373,P.S. R373 (75R373),Staten Island,D75,3,3,,3,,1,1,No,No,No
75R721,THE RICHARD H. HUNGERFORD SCHOOL (75R721),Staten Island,D75,3,3,,3,,1,1,No,No,No
75X010,P.S. X010 (75X010),Bronx,D75,26,3,,3,,1,1,No,No,No
75X017,P.S. X017 (75X017),Bronx,D75,21,3,,3,,1,1,No,No,No
75X168,P.S. 168 (75X168),Bronx,D75,13,3,,3,,1,1,No,No,No
75X176,P.S. X176 (75X176),Bronx,D75,16,3,,3,,1,1,No,No,No
75X186,P186X WALTER J. DAMROSCH SCHOOL (75X186),Bronx,D75,21,3,,3,,1,1,No,No,No
75X188,P.S. X188 (75X188),Bronx,D75,7,3,,3,,1,1,No,No,No
75X352,THE VIDA BOGART SCHOOL FOR ALL CHILDREN (75X352),Bronx,D75,8,3,,3,,1,1,No,No,No
75X596,P.S. X596 (75X596),Bronx,D75,3,3,,3,,1,1,No,No,No
75X723,P.S. 723 (75X723),Bronx,D75,11,3,,3,,1,1,No,No,No
79M973,RESTART ACADEMY (79M973),Manhattan,D79,137,3,,3,,1,1,No,No,No
79X695,PASSAGES ACADEMY (79X695),Bronx,D79,3,3,,3,,1,1,No,No,No
84K037,BEGINNING WITH CHILDREN CHARTER SCHOOL II (84K037),Brooklyn,Charter,49,16,0.33,3,,0,1,No,No,No
84K333,EXPLORE EXCEED CHARTER SCHOOL (84K333),Brooklyn,Charter,53,7,0.13,3,,0,1,No,No,No
84K355,WILLIAMSBURG COLLEGIATE CHARTER SCHOOL (84K355),Brooklyn,Charter,43,14,0.33,3,,0,1,No,No,No
84K356,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL (84K356),Brooklyn,Charter,58,23,0.40,3,,0,1,No,No,No
84K357,KIPP AMP CHARTER SCHOOL (84K357),Brooklyn,Charter,36,18,0.50,3,,0,1,No,No,No
84K358,ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL (84K358),Brooklyn,Charter,39,30,0.77,3,,0,1,No,No,No
84K360,LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL (84K360),Brooklyn,Charter,97,3,,3,,1,1,No,No,No
84K362,HELLENIC CLASSICAL CHARTER SCHOOL (84K362),Brooklyn,Charter,49,22,0.45,6,0.27,0,0,No,No,No
84K367,SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 1 (84K367),Brooklyn,Charter,47,28,0.60,3,,0,1,No,No,No
84K379,EXPLORE EXCEL CHARTER SCHOOL (84K379),Brooklyn,Charter,68,23,0.34,3,,0,1,No,No,No
84K406,"EMBER CHARTER SCHOOL FOR MINDFUL EDUCATION, INNOVATION AND TRANSFORMATION (84K406)",Brooklyn,Charter,38,7,0.18,3,,0,1,No,No,No
84K508,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL (84K508),Brooklyn,Charter,54,25,0.46,3,,0,1,No,No,No
84K517,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP CHARTER SCHOOL (84K517),Brooklyn,Charter,56,23,0.41,3,,0,1,No,No,No
84K536,COMMUNITY ROOTS CHARTER SCHOOL (84K536),Brooklyn,Charter,51,9,0.18,3,,0,1,No,No,No
84K538,ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL (84K538),Brooklyn,Charter,38,16,0.42,3,,0,1,No,No,No
84K593,EXCELLENCE BOYS CHARTER SCHOOL (84K593),Brooklyn,Charter,54,29,0.54,3,,0,1,No,No,No
84K608,KINGS COLLEGIATE CHARTER SCHOOL (84K608),Brooklyn,Charter,40,21,0.53,3,,0,1,No,No,No
84K626,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL (84K626),Brooklyn,Charter,72,42,0.58,3,,0,1,No,No,No
84K648,BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL (84K648),Brooklyn,Charter,36,19,0.53,3,,0,1,No,No,No
84K651,PAVE ACADEMY CHARTER SCHOOL (84K651),Brooklyn,Charter,53,36,0.68,3,,0,1,No,No,No
84K652,BROOKLYN ASCEND CHARTER SCHOOL (84K652),Brooklyn,Charter,106,28,0.26,3,,0,1,No,No,No
84K680,ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL (84K680),Brooklyn,Charter,64,29,0.45,3,,0,1,No,No,No
84K702,COMMUNITY PARTNERSHIP CHARTER SCHOOL (84K702),Brooklyn,Charter,42,12,0.29,3,,0,1,No,No,No
84K704,EXPLORE CHARTER SCHOOL (84K704),Brooklyn,Charter,62,7,0.11,3,,0,1,No,No,No
84K707,BROOKLYN PROSPECT CHARTER SCHOOL (84K707),Brooklyn,Charter,59,28,0.47,9,0.32,0,0,No,No,No
84K710,BROWNSVILLE COLLEGIATE CHARTER SCHOOL (84K710),Brooklyn,Charter,32,8,0.25,3,,0,1,No,No,No
84K711,LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL (84K711),Brooklyn,Charter,40,10,0.25,3,,0,1,No,No,No
84K712,EXCELLENCE GIRLS CHARTER SCHOOL (84K712),Brooklyn,Charter,59,24,0.41,3,,0,1,No,No,No
84K724,LEADERSHIP PREP CANARSIE CHARTER SCHOOL (LEADERSHIP PREP CS 4) (84K724),Brooklyn,Charter,52,10,0.19,3,,0,1,No,No,No
84K730,SUMMIT ACADEMY CHARTER SCHOOL (84K730),Brooklyn,Charter,22,8,0.36,3,,0,1,No,No,No
84K731,BROOKLYN EXCELSIOR CHARTER SCHOOL (84K731),Brooklyn,Charter,71,15,0.21,3,,0,1,No,No,No
84K737,BROWNSVILLE ASCEND CHARTER SCHOOL (84K737),Brooklyn,Charter,115,37,0.32,3,,0,1,No,No,No
84K740,BROOKLYN SCHOLARS CHARTER SCHOOL (84K740),Brooklyn,Charter,73,24,0.33,3,,0,1,No,No,No
84K741,SUCCESS ACADEMY CROWN HEIGHTS (BROOKLYN 7) (84K741),Brooklyn,Charter,55,41,0.75,3,,0,1,No,No,No
