ATS_CODE,BORO,BORONUM,LOC_CODE,ADDRESS,STATE_CODE,ZIP,City,DBN,Dist,MS,Borough,CSD,Total Stud,Students T,Percent of,Total St_1,Percent _1,Fewer than,Fewer th_1,Gifted and,HS Program,Citywide,result_num,status,formatted_,place_id,location_t,latlong
08X269      ,X,2,X269,928 SIMPSON STREET,NY,"10459",BRONX,08X269,"8",BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS (08X269),Bronx,D8,"87",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
12X267      ,X,2,X267,800 HOME STREET,NY,"10456",BRONX,12X267,"12",BRONX LATIN (12X267),Bronx,D12,"72",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
32K349      ,K,2,K349,35 STARR STREET,NY,"11221",BROOKLYN,32K349,"32","I.S. 349 MATH, SCIENCE & TECH. (32K349)",Brooklyn,D32,"98","9","9.2",0-5,NA,"0","1",No,No,No,,,,,,
09X232      ,X,2,X232,1700 MACOMBS ROAD,NY,"10453",BRONX,09X232,"9",I.S. 232 (09X232),Bronx,D9,"147","8","5.4",0-5,NA,"0","1",No,No,No,,,,,,
32K347      ,K,2,K347,35 STARR STREET,NY,"11221",BROOKLYN,32K347,"32",I.S. 347 SCHOOL OF HUMANITIES (32K347),Brooklyn,D32,"102",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
09X229      ,X,2,X229,275 HARLEM RIVER PARK BRIDGE,NY,"10453",BRONX,09X229,"9",I.S. 229 ROLAND PATTERSON (09X229),Bronx,D9,"72","6","8.3",0-5,NA,"0","1",No,No,No,,,,,,
10X225      ,X,2,X225,2225 WEBSTER AVENUE,NY,"10457",BRONX,10X225,"10",THEATRE ARTS PRODUCTION COMPANY SCHOOL (10X225),Bronx,D10,"52",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
17K340      ,K,2,K340,227 STERLING PLACE,NY,"11238",BROOKLYN,17K340,"17",I.S. 340 (17K340),Brooklyn,D17,"56","6","10.7",0-5,NA,"0","1",No,No,No,,,,,,
16K308      ,K,2,K308,616 QUINCY STREET,NY,"11221",BROOKLYN,16K308,"16",P.S. 308 CLARA CARDWELL (16K308),Brooklyn,D16,"28",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
10X243      ,X,2,X243,500 EAST FORDHAM ROAD,NY,"10458",BRONX,10X243,"10",WEST BRONX ACADEMY FOR THE FUTURE (10X243),Bronx,D10,"91",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
10X244      ,X,2,X244,120 WEST 231 STREET,NY,"10463",BRONX,10X244,"10",THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM (10X244),Bronx,D10,"252","75","29.8",0-5,NA,"0","1",No,No,No,,,,,,
21K303      ,K,2,K303,501 WEST AVENUE,NY,"11224",BROOKLYN,21K303,"21",I.S. 303 HERBERT S. EISENBERG (21K303),Brooklyn,D21,"192","38","19.8",0-5,NA,"0","1",No,No,No,,,,,,
09X241      ,X,2,X241,1595 BATHGATE AVENUE,NY,"10457",BRONX,09X241,"9","URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE (09X241)",Bronx,D9,"80","7","8.8",0-5,NA,"0","1",No,No,No,,,,,,
23K323      ,K,2,K323,210 CHESTER STREET,NY,"11212",BROOKLYN,23K323,"23",P.S./I.S. 323 (23K323),Brooklyn,D23,"45","6","13.3",0-5,NA,"0","1",No,No,No,,,,,,
12X211      ,X,2,X211,1919 PROSPECT AVENUE,NY,"10457",BRONX,12X211,"12",P.S. 211 (12X211),Bronx,D12,"59","8","13.6",0-5,NA,"0","1",No,No,No,,,,,,
10X206      ,X,2,X206,2280 AQUEDUCT AVENUE,NY,"10468",BRONX,10X206,"10",I.S. 206 ANN MERSEREAU (10X206),Bronx,D10,"96","10","10.4",0-5,NA,"0","1",No,No,No,,,,,,
14K318      ,K,2,K318,101 WALTON STREET,NY,"11206",BROOKLYN,14K318,"14",I.S. 318 EUGENIO MARIA DE HOSTOS (14K318),Brooklyn,D14,"419","158","37.7","29","18.4","0","0",No,No,No,,,,,,
13K313      ,K,2,K313,209 YORK STREET,NY,"11201",BROOKLYN,13K313,"13",DOCK STREET SCHOOL FOR STEAM STUDIES (13K313),Brooklyn,D13,"91","25","27.5",0-5,NA,"0","1",No,No,No,,,,,,
07X223      ,X,2,X223,360 EAST 145 STREET,NY,"10454",BRONX,07X223,"7",THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223 (07X223),Bronx,D7,"110",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
07X224      ,X,2,X224,345 BROOK AVENUE,NY,"10454",BRONX,07X224,"7",P.S./I.S. 224 (07X224),Bronx,D7,"85",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
32K291      ,K,2,K291,231 PALMETTO STREET,NY,"11221",BROOKLYN,32K291,"32",J.H.S. 291 ROLAND HAYES (32K291),Brooklyn,D32,"119","6","5",0-5,NA,"0","1",No,No,No,,,,,,
09X219      ,X,2,X219,3630 THIRD AVENUE,NY,"10456",BRONX,09X219,"9",I.S. 219 NEW VENTURE SCHOOL (09X219),Bronx,D9,"112",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
21K288      ,K,2,K288,2950 WEST  25 STREET,NY,"11224",BROOKLYN,21K288,"21",P.S. 288 THE SHIRLEY TANYHILL (21K288),Brooklyn,D21,"45","13","28.9",0-5,NA,"0","1",No,No,No,,,,,,
07X221      ,X,2,X221,360 EAST 145 STREET,NY,"10454",BRONX,07X221,"7",SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL (07X221),Bronx,D7,"87",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
12X217      ,X,2,X217,977 FOX STREET,NY,"10459",BRONX,12X217,"12",SCHOOL OF PERFORMING ARTS (12X217),Bronx,D12,"126","16","12.7",0-5,NA,"0","1",No,No,No,,,,,,
